image_name	things_image_nr	image_category	things_category_nr	face	body	lone_object	human_face	human_body	nh_mammal_face	nh_mammal_body	central_face	central_body	artificial_face	artificial_body	scene	rich_background
asparagus_03s	594	asparagus	43	0	0	0	0	0	0	0	0	0	0	0	0	0
asparagus_04s	595	asparagus	43	0	0	1	0	0	0	0	0	0	0	0	0	0
asparagus_05n	596	asparagus	43	0	0	1	0	0	0	0	0	0	0	0	0	0
asparagus_06s	597	asparagus	43	0	0	0	0	0	0	0	0	0	0	0	0	0
avocado_01b	604	avocado	44	0	0	0	0	0	0	0	0	0	0	0	0	0
avocado_02s	605	avocado	44	0	0	1	0	0	0	0	0	0	0	0	0	0
avocado_03s	606	avocado	44	0	0	1	0	0	0	0	0	0	0	0	0	0
avocado_04s	607	avocado	44	0	0	1	0	0	0	0	0	0	0	0	0	0
avocado_05s	608	avocado	44	0	0	1	0	0	0	0	0	0	0	0	0	0
avocado_06s	609	avocado	44	0	0	0	0	0	0	0	0	0	0	0	0	0
axe_01b	633	axe	46	0	0	0	0	0	0	0	0	0	0	0	0	1
axe_02n	634	axe	46	0	0	1	0	0	0	0	0	0	0	0	0	0
axe_03n	635	axe	46	0	0	1	0	0	0	0	0	0	0	0	0	0
axe_04n	636	axe	46	0	0	1	0	0	0	0	0	0	0	0	0	0
axe_05n	637	axe	46	0	0	1	0	0	0	0	0	0	0	0	0	0
axe_06n	638	axe	46	0	0	1	0	0	0	0	0	0	0	0	0	0
baby_01b	647	baby	47	1	1	0	1	1	0	0	1	1	0	0	0	0
baby_02s	648	baby	47	1	1	0	1	1	0	0	1	1	0	0	0	0
baby_03s	649	baby	47	1	0	0	1	0	0	0	1	0	0	0	0	0
baby_04s	650	baby	47	1	1	0	1	1	0	0	1	1	0	0	0	0
baby_05s	651	baby	47	1	1	0	1	1	0	0	1	1	0	0	0	0
baby_06s	652	baby	47	1	1	0	1	1	0	0	1	1	0	0	0	0
backpack_01b	709	backpack	50	0	1	0	0	1	0	0	0	1	0	0	0	1
backpack_02s	710	backpack	50	0	0	0	0	0	0	0	0	0	0	0	0	0
backpack_03s	711	backpack	50	0	0	1	0	0	0	0	0	0	0	0	0	0
backpack_04s	712	backpack	50	0	0	0	0	0	0	0	0	0	0	0	0	0
backpack_05s	713	backpack	50	0	1	0	0	1	0	0	0	1	0	0	0	0
backpack_06s	714	backpack	50	0	0	1	0	0	0	0	0	0	0	0	0	0
bag_01b	796	bag	55	0	0	1	0	0	0	0	0	0	0	0	0	0
bag_02s	797	bag	55	0	0	1	0	0	0	0	0	0	0	0	0	0
bag_03s	798	bag	55	0	0	1	0	0	0	0	0	0	0	0	0	0
bag_04s	799	bag	55	0	0	1	0	0	0	0	0	0	0	0	0	0
bag_05s	800	bag	55	0	0	1	0	0	0	0	0	0	0	0	0	0
bag_06s	801	bag	55	0	0	1	0	0	0	0	0	0	0	0	0	0
bagel_01s	812	bagel	56	0	0	0	0	0	0	0	0	0	0	0	0	0
bagel_02n	813	bagel	56	0	0	0	0	0	0	0	0	0	0	0	0	0
bagel_03s	814	bagel	56	0	0	0	0	0	0	0	0	0	0	0	0	0
bagel_04s	815	bagel	56	0	0	0	0	0	0	0	0	0	0	0	0	0
bagel_05s	816	bagel	56	0	0	0	0	0	0	0	0	0	0	0	0	0
bagel_06s	817	bagel	56	0	0	0	0	0	0	0	0	0	0	0	0	0
ball_01b	880	ball	60	0	0	0	0	0	0	0	0	0	0	0	0	1
ball_02s	881	ball	60	0	1	0	0	1	0	0	0	0	0	0	0	1
ball_03s	882	ball	60	0	0	0	0	0	0	0	0	0	0	0	0	0
ball_04s	883	ball	60	0	0	1	0	0	0	0	0	0	0	0	0	0
ball_05s	884	ball	60	0	0	1	0	0	0	0	0	0	0	0	0	0
ball_06s	885	ball	60	0	0	1	0	0	0	0	0	0	0	0	0	0
balloon_01b	896	balloon	61	0	0	0	0	0	0	0	0	0	0	0	0	1
balloon_02s	897	balloon	61	0	0	0	0	0	0	0	0	0	0	0	1	0
balloon_03s	898	balloon	61	0	0	0	0	0	0	0	0	0	0	0	1	0
balloon_04s	899	balloon	61	0	0	1	0	0	0	0	0	0	0	0	0	0
balloon_05s	900	balloon	61	0	0	1	0	0	0	0	0	0	0	0	0	0
balloon_06s	901	balloon	61	0	0	0	0	0	0	0	0	0	0	0	0	1
bamboo_01b	932	bamboo	63	0	0	0	0	0	0	0	0	0	0	0	0	1
bamboo_02s	933	bamboo	63	0	0	0	0	0	0	0	0	0	0	0	0	1
bamboo_03s	934	bamboo	63	0	0	0	0	0	0	0	0	0	0	0	0	1
bamboo_04n	935	bamboo	63	0	0	0	0	0	0	0	0	0	0	0	0	1
bamboo_05n	936	bamboo	63	0	0	0	0	0	0	0	0	0	0	0	1	0
bamboo_06s	937	bamboo	63	0	0	0	0	0	0	0	0	0	0	0	0	1
banana_01b	948	banana	64	0	0	1	0	0	0	0	0	0	0	0	0	0
banana_02s	949	banana	64	0	0	1	0	0	0	0	0	0	0	0	0	0
banana_03s	950	banana	64	0	0	0	0	0	0	0	0	0	0	0	0	0
banana_04s	951	banana	64	0	0	1	0	0	0	0	0	0	0	0	0	0
banana_05s	952	banana	64	0	0	0	0	0	0	0	0	0	0	0	0	0
banana_06s	953	banana	64	0	0	0	0	0	0	0	0	0	0	0	0	0
banana_split_01b	978	banana_split	66	0	0	1	0	0	0	0	0	0	0	0	0	0
banana_split_02s	979	banana_split	66	0	1	0	0	1	0	0	0	0	0	0	0	1
banana_split_03s	980	banana_split	66	0	0	1	0	0	0	0	0	0	0	0	0	0
banana_split_04s	981	banana_split	66	0	0	1	0	0	0	0	0	0	0	0	0	0
banana_split_05s	982	banana_split	66	0	0	0	0	0	0	0	0	0	0	0	0	0
banana_split_06s	983	banana_split	66	0	0	1	0	0	0	0	0	0	0	0	0	0
bandage_01b	993	bandage	67	0	1	0	0	1	0	0	0	1	0	0	0	0
bandage_02s	994	bandage	67	0	0	1	0	0	0	0	0	0	0	0	0	0
bandage_03s	995	bandage	67	0	1	0	0	1	0	0	0	1	0	0	0	0
bandage_04s	996	bandage	67	0	1	0	0	1	0	0	0	1	0	0	0	0
bandage_05s	997	bandage	67	0	1	0	0	1	0	0	0	1	0	0	0	0
bandage_06s	998	bandage	67	0	1	0	0	1	0	0	0	1	0	0	0	1
banner_01b	1046	banner	71	1	1	0	1	1	0	0	0	0	0	0	1	0
banner_02s	1047	banner	71	1	1	0	1	1	0	0	0	0	1	1	1	0
banner_03s	1048	banner	71	0	1	0	0	1	0	0	0	0	0	0	1	0
banner_04s	1049	banner	71	0	1	0	0	1	0	0	0	0	0	0	1	0
banner_05s	1050	banner	71	1	1	0	1	1	0	0	0	0	0	0	1	0
banner_06s	1051	banner	71	0	0	0	0	0	0	0	0	0	0	0	0	1
barnacle_01s	1124	barnacle	76	0	0	0	0	0	0	0	0	0	0	0	0	0
barnacle_02s	1125	barnacle	76	0	0	0	0	0	0	0	0	0	0	0	0	0
barnacle_03s	1126	barnacle	76	0	0	0	0	0	0	0	0	0	0	0	0	1
barnacle_04n	1127	barnacle	76	0	0	0	0	0	0	0	0	0	0	0	0	1
barnacle_05s	1128	barnacle	76	0	0	0	0	0	0	0	0	0	0	0	0	1
barnacle_06n	1129	barnacle	76	0	0	0	0	0	0	0	0	0	0	0	0	1
barrel_01b	1136	barrel	77	0	0	0	0	0	0	0	0	0	0	0	0	1
barrel_02s	1137	barrel	77	0	0	0	0	0	0	0	0	0	0	0	0	0
barrel_03s	1138	barrel	77	0	0	0	0	0	0	0	0	0	0	0	1	0
barrel_04s	1139	barrel	77	0	0	0	0	0	0	0	0	0	0	0	0	1
barrel_05s	1140	barrel	77	0	0	0	0	0	0	0	0	0	0	0	0	1
barrel_06s	1141	barrel	77	0	0	0	0	0	0	0	0	0	0	0	0	1
basket_01b	1230	basket	83	0	0	0	0	0	0	0	0	0	0	0	0	0
basket_02s	1231	basket	83	0	0	0	0	0	0	0	0	0	0	0	0	1
basket_03s	1232	basket	83	0	0	0	0	0	0	0	0	0	0	0	0	1
basket_04s	1233	basket	83	0	0	0	0	0	0	0	0	0	0	0	0	1
basket_05s	1234	basket	83	0	0	0	0	0	0	0	0	0	0	0	0	1
basket_06s	1235	basket	83	0	0	0	0	0	0	0	0	0	0	0	0	1
bassinet_01b	1267	bassinet	86	0	0	0	0	0	0	0	0	0	0	0	0	1
bassinet_02s	1268	bassinet	86	0	0	0	0	0	0	0	0	0	0	0	0	1
bassinet_03s	1269	bassinet	86	0	0	0	0	0	0	0	0	0	0	0	1	0
bassinet_04s	1270	bassinet	86	0	0	0	0	0	0	0	0	0	0	0	0	1
bassinet_05s	1271	bassinet	86	0	0	0	0	0	0	0	0	0	0	0	0	1
bassinet_06s	1272	bassinet	86	0	0	1	0	0	0	0	0	0	0	0	0	0
battery_01b	1469	battery	98	0	0	0	0	0	0	0	0	0	0	0	0	0
battery_02s	1470	battery	98	0	0	0	0	0	0	0	0	0	0	0	0	0
battery_03n	1471	battery	98	0	0	1	0	0	0	0	0	0	0	0	0	0
battery_04n	1472	battery	98	0	0	0	0	0	0	0	0	0	0	0	0	0
battery_05n	1473	battery	98	0	0	1	0	0	0	0	0	0	0	0	0	0
battery_06s	1474	battery	98	0	0	0	0	0	0	0	0	0	0	0	0	0
beachball_01b	1495	beachball	100	0	0	0	0	0	0	0	0	0	0	0	0	1
beachball_02s	1496	beachball	100	0	0	0	0	0	0	0	0	0	0	0	1	0
beachball_03s	1497	beachball	100	0	0	1	0	0	0	0	0	0	0	0	0	0
beachball_04s	1498	beachball	100	0	0	0	0	0	0	0	0	0	0	0	0	1
beachball_05s	1499	beachball	100	0	0	0	0	0	0	0	0	0	0	0	0	1
beachball_06s	1500	beachball	100	0	0	0	0	0	0	0	0	0	0	0	0	1
beaker_01b	1528	beaker	102	0	0	1	0	0	0	0	0	0	0	0	0	0
beaker_02s	1529	beaker	102	0	0	0	0	0	0	0	0	0	0	0	0	0
beaker_03s	1530	beaker	102	0	0	1	0	0	0	0	0	0	0	0	0	0
beaker_04s	1531	beaker	102	0	0	1	0	0	0	0	0	0	0	0	0	0
beaker_05n	1532	beaker	102	0	0	0	0	0	0	0	0	0	0	0	0	0
beaker_06s	1533	beaker	102	0	0	0	0	0	0	0	0	0	0	0	0	0
bean_01b	1544	bean	103	0	0	1	0	0	0	0	0	0	0	0	0	0
bean_02s	1545	bean	103	0	0	0	0	0	0	0	0	0	0	0	0	0
bean_03s	1546	bean	103	0	0	0	0	0	0	0	0	0	0	0	0	0
bean_04s	1547	bean	103	0	0	0	0	0	0	0	0	0	0	0	0	0
bean_05s	1548	bean	103	0	0	0	0	0	0	0	0	0	0	0	0	0
bean_06s	1549	bean	103	0	0	0	0	0	0	0	0	0	0	0	0	0
bear_01b	1591	bear	106	1	1	0	0	0	1	1	1	1	0	0	0	1
bear_02s	1592	bear	106	1	1	0	0	0	1	1	1	1	0	0	0	1
bear_03s	1593	bear	106	1	1	0	0	0	1	1	1	1	0	0	0	1
bear_04s	1594	bear	106	1	1	0	0	0	1	1	1	1	0	0	0	1
bear_05s	1595	bear	106	1	1	0	0	0	1	1	1	1	0	0	0	1
bear_06n	1596	bear	106	1	1	0	0	0	1	1	1	1	0	0	1	0
beaver_01b	1628	beaver	108	1	1	0	0	0	1	1	1	1	0	0	0	1
beaver_02s	1629	beaver	108	1	1	0	0	0	1	1	1	1	0	0	0	1
beaver_03s	1630	beaver	108	1	1	0	0	0	1	1	1	1	0	0	0	1
beaver_04s	1631	beaver	108	1	1	0	0	0	1	1	1	1	0	0	0	1
beaver_05s	1632	beaver	108	1	1	0	0	0	1	1	1	1	0	0	0	1
beaver_06s	1633	beaver	108	1	1	0	0	0	1	1	1	1	0	0	0	1
bed_01b	1645	bed	109	0	0	0	0	0	0	0	0	0	0	0	1	0
bed_02s	1646	bed	109	0	0	0	0	0	0	0	0	0	0	0	1	0
bed_03s	1647	bed	109	0	0	0	0	0	0	0	0	0	0	0	1	0
bed_04s	1648	bed	109	0	0	0	0	0	0	0	0	0	0	0	1	0
bed_05n	1649	bed	109	0	0	0	0	0	0	0	0	0	0	0	1	0
bed_06n	1650	bed	109	0	0	0	0	0	0	0	0	0	0	0	1	0
bee_01b	1695	bee	112	1	1	0	0	0	0	0	1	1	0	0	0	0
bee_02s	1696	bee	112	1	1	0	0	0	0	0	1	1	0	0	0	0
bee_03s	1697	bee	112	0	1	0	0	0	0	0	0	1	0	0	0	1
bee_04s	1698	bee	112	1	1	0	0	0	0	0	1	1	0	0	0	0
bee_05s	1699	bee	112	1	1	0	0	0	0	0	1	1	0	0	0	1
bee_06s	1700	bee	112	1	1	0	0	0	0	0	1	1	0	0	0	0
beer_01s	1735	beer	114	0	0	1	0	0	0	0	0	0	0	0	0	0
beer_02s	1736	beer	114	0	1	0	0	1	0	0	0	1	0	0	0	0
beer_03s	1737	beer	114	0	0	0	0	0	0	0	0	0	0	0	0	1
beer_04s	1738	beer	114	0	1	0	0	1	0	0	0	1	0	0	0	0
beer_05s	1739	beer	114	0	0	0	0	0	0	0	0	0	0	0	0	0
beer_06s	1740	beer	114	0	0	0	0	0	0	0	0	0	0	0	0	0
beet_01b	1751	beet	115	0	0	0	0	0	0	0	0	0	0	0	0	0
beet_02s	1752	beet	115	0	0	0	0	0	0	0	0	0	0	0	0	0
beet_03s	1753	beet	115	0	0	0	0	0	0	0	0	0	0	0	0	0
beet_04s	1754	beet	115	0	0	0	0	0	0	0	0	0	0	0	0	0
beet_05s	1755	beet	115	0	0	0	0	0	0	0	0	0	0	0	0	0
beet_06s	1756	beet	115	0	0	0	0	0	0	0	0	0	0	0	0	0
beetle_01b	1766	beetle	116	0	1	1	0	0	0	0	0	1	0	0	0	0
beetle_02n	1767	beetle	116	0	1	0	0	0	0	0	0	1	0	0	0	0
beetle_03s	1768	beetle	116	0	1	0	0	1	0	0	0	1	0	0	0	0
beetle_04s	1769	beetle	116	0	1	0	0	0	0	0	0	1	0	0	0	1
beetle_05n	1770	beetle	116	0	1	0	0	0	0	0	0	1	0	0	0	1
beetle_06s	1771	beetle	116	0	1	0	0	0	0	0	0	1	0	0	0	0
bell_01b	1781	bell	117	0	0	0	0	0	0	0	0	0	0	0	0	0
bell_02s	1782	bell	117	0	0	0	0	0	0	0	0	0	0	0	0	1
bell_03s	1783	bell	117	0	0	0	0	0	0	0	0	0	0	0	0	1
bell_04s	1784	bell	117	0	0	0	0	0	0	0	0	0	0	0	0	1
bell_05n	1785	bell	117	0	0	0	0	0	0	0	0	0	0	0	0	1
bell_06s	1786	bell	117	0	0	0	0	0	0	0	0	0	0	0	1	0
bench_01b	1843	bench	121	0	0	0	0	0	0	0	0	0	0	0	1	0
bench_02s	1844	bench	121	0	0	0	0	0	0	0	0	0	0	0	1	0
bench_03s	1845	bench	121	0	0	0	0	0	0	0	0	0	0	0	1	0
bench_04s	1846	bench	121	0	0	0	0	0	0	0	0	0	0	0	1	0
bench_05s	1847	bench	121	0	0	0	0	0	0	0	0	0	0	0	0	1
bench_06s	1848	bench	121	0	0	0	0	0	0	0	0	0	0	0	1	0
bib_01n	1871	bib	123	0	0	1	0	0	0	0	0	0	0	0	0	0
bib_02s	1872	bib	123	0	1	0	0	1	0	0	0	1	0	0	0	0
bib_03s	1873	bib	123	0	0	1	0	0	0	0	0	0	0	0	0	0
bib_04s	1874	bib	123	0	0	1	0	0	0	0	0	0	0	0	0	0
bib_05s	1875	bib	123	0	0	1	0	0	0	0	0	0	0	0	0	0
bib_06s	1876	bib	123	0	0	1	0	0	0	0	0	0	0	0	0	0
bike_01b	1886	bike	124	0	0	0	0	0	0	0	0	0	0	0	0	1
bike_02s	1887	bike	124	0	0	0	0	0	0	0	0	0	0	0	1	0
bike_03s	1888	bike	124	0	0	0	0	0	0	0	0	0	0	0	1	0
bike_04s	1889	bike	124	0	0	0	0	0	0	0	0	0	0	0	0	1
bike_05s	1890	bike	124	0	0	0	0	0	0	0	0	0	0	0	0	1
bike_06s	1891	bike	124	0	0	0	0	0	0	0	0	0	0	0	1	0
binoculars_01s	1959	binoculars	128	0	0	1	0	0	0	0	0	0	0	0	0	0
binoculars_02s	1960	binoculars	128	0	1	0	0	1	0	0	0	0	0	0	0	0
binoculars_03s	1961	binoculars	128	0	0	0	0	0	0	0	0	0	0	0	0	0
binoculars_04s	1962	binoculars	128	0	0	0	0	0	0	0	0	0	0	0	0	0
binoculars_05s	1963	binoculars	128	0	0	0	0	0	0	0	0	0	0	0	0	0
binoculars_06s	1964	binoculars	128	1	1	0	1	1	0	0	1	1	0	0	1	0
bird_01b	1971	bird	129	1	1	0	0	0	0	0	1	1	0	0	0	1
bird_02s	1972	bird	129	1	1	0	0	0	0	0	1	1	0	0	0	0
bird_03s	1973	bird	129	1	1	0	0	0	0	0	1	1	0	0	0	1
bird_04s	1974	bird	129	1	1	0	0	0	0	0	1	1	0	0	0	1
bird_05s	1975	bird	129	1	1	0	0	0	0	0	1	1	0	0	0	1
bird_06s	1976	bird	129	1	1	0	0	0	0	0	1	1	0	0	0	1
birdcage_01b	2009	birdcage	131	0	0	0	0	0	0	0	0	0	0	0	1	0
birdcage_02s	2010	birdcage	131	0	0	0	0	0	0	0	0	0	0	0	0	0
birdcage_03s	2011	birdcage	131	0	0	0	0	0	0	0	0	0	0	0	1	0
birdcage_04s	2012	birdcage	131	0	0	0	0	0	0	0	0	0	0	0	0	0
birdcage_05s	2013	birdcage	131	1	1	0	0	0	0	0	0	0	0	0	0	0
birdcage_06s	2014	birdcage	131	0	1	0	0	0	0	0	0	0	0	1	0	1
birdhouse_01b	2021	birdhouse	132	0	0	0	0	0	0	0	0	0	0	0	1	0
birdhouse_02s	2022	birdhouse	132	0	0	0	0	0	0	0	0	0	0	0	0	1
birdhouse_03s	2023	birdhouse	132	0	0	0	0	0	0	0	0	0	0	0	0	1
birdhouse_04s	2024	birdhouse	132	1	1	0	0	0	0	0	1	1	0	0	1	0
